Rep M theta L D b2PC1 b2PC2 Fst1 Fst2
A1 407219 0.001 147604 60107153276 0.853895956631335 6.42429859112218e-06 0.11 0.001
A1 407219 0.01 147604 60107153276 0.982454913088116 3.09156681693688e-06 0.11 0.001
A1 407219 0.1 147604 60107153276 0.998091771463225 9.69253142299634e-06 0.11 0.001
A1 407219 0.999 147604 60107153276 0.00395334977508158 0.0139822420115074 0.11 0.001
A1 407219 0.001 147604 60107153276 0.852019470725233 1.80664486061564e-07 0.11 0.01
A1 407219 0.01 147604 60107153276 0.982183039871674 2.11019825388061e-07 0.11 0.01
A1 407219 0.1 147604 60107153276 0.998057085226456 0.924490278270657 0.11 0.01
A1 407219 0.999 147604 60107153276 8.79142380183003e-09 3.62034341066019e-06 0.11 0.01
A1 407219 0.001 147604 60107153276 0.830451100429993 1.66790006699493e-05 0.11 0.1
A1 407219 0.01 147604 60107153276 0.978800328120958 0.932910676425204 0.11 0.1
A1 407219 0.1 147604 60107153276 0.997672469176111 0.992876172608177 0.11 0.1
A1 407219 0.999 147604 60107153276 5.65025884731991e-08 4.71432816818753e-06 0.11 0.1
