expFst1 expFst2 Rep M theta L D b2PC1 b2PC2 Fst1 Fst2
0.1 0.05 A1 1000 0.05 500 5e+05 0.941580632345399 0.837967290054183 0.194929 0.0824667
0.1 0.01 A1 1000 0.05 500 5e+05 0.948227613323315 0.271267373090688 0.1759 0.029131
0.1 0.005 A1 1000 0.05 500 5e+05 0.960690584213713 0.287596778975743 0.2090715 0.0123214
0.1 0.001 A1 1000 0.05 500 5e+05 0.968195220527245 0.00304269040156833 0.2030255 0.00010156
0.1 0.05 A1 1000 0.05 1000 1e+06 0.977381549207056 0.900551302213345 0.171375 0.0899294
0.1 0.01 A1 1000 0.05 1000 1e+06 0.979828148022009 0.274778253136508 0.1802285 0.0175104
0.1 0.005 A1 1000 0.05 1000 1e+06 0.974918391185323 0.0482473854835756 0.2029575 0.0122792
0.1 0.001 A1 1000 0.05 1000 1e+06 0.978825954471016 0.00801555958838557 0.196652 0.00389359
0.1 0.05 A1 1000 0.05 5000 5e+06 0.995451138537179 0.986880434418 0.171568 0.0934804
0.1 0.01 A1 1000 0.05 5000 5e+06 0.99624697923191 0.878046086537319 0.1801175 0.0219765
0.1 0.005 A1 1000 0.05 5000 5e+06 0.995512233142786 0.6635980923204 0.1820805 0.00922516
0.1 0.001 A1 1000 0.05 5000 5e+06 0.996482965030009 0.00437509813773663 0.1965945 0.00307493
0.1 0.05 A1 1000 0.05 10000 1e+07 0.996310612744943 0.989568442562 0.1804895 0.0931185
0.1 0.01 A1 1000 0.05 10000 1e+07 0.997832966310125 0.934592189473096 0.179519 0.0212729
0.1 0.005 A1 1000 0.05 10000 1e+07 0.997819739461432 0.816585385581245 0.1882815 0.00941634
0.1 0.001 A1 1000 0.05 10000 1e+07 0.998428582018832 0.0264428941213185 0.1879625 0.00177925
0.1 0.05 A1 1000 0.1 500 5e+05 0.94425621852933 0.862294468467535 0.17679 0.083759
0.1 0.01 A1 1000 0.1 500 5e+05 0.960068633569746 0.536666236994895 0.2003615 0.0224883
0.1 0.005 A1 1000 0.1 500 5e+05 0.959522388148051 2.81663134608302e-05 0.1680165 0.00790449
0.1 0.001 A1 1000 0.1 500 5e+05 0.961724283810984 0.00715136038517129 0.151764 0.00421452
0.1 0.05 A1 1000 0.1 1000 1e+06 0.972223016257198 0.91389965324138 0.1933135 0.0815091
0.1 0.01 A1 1000 0.1 1000 1e+06 0.979292081780235 0.605353812108477 0.1593115 0.0205843
0.1 0.005 A1 1000 0.1 1000 1e+06 0.982234116401861 0.267118289256669 0.1838545 0.00731357
0.1 0.001 A1 1000 0.1 1000 1e+06 0.98191471653029 0.00867313057294081 0.1820175 0.00175864
0.1 0.05 A1 1000 0.1 5000 5e+06 0.995530000787622 0.987812879477818 0.1800875 0.0946901
0.1 0.01 A1 1000 0.1 5000 5e+06 0.996320688129571 0.93134543589376 0.181395 0.0204783
0.1 0.005 A1 1000 0.1 5000 5e+06 0.997232778683494 0.830402934284381 0.188138 0.0080566
0.1 0.001 A1 1000 0.1 5000 5e+06 0.997074594835164 0.0035209282255081 0.185853 0.00215233
0.1 0.05 A1 1000 0.1 10000 1e+07 0.997078659575353 0.993223299982692 0.185325 0.0932657
0.1 0.01 A1 1000 0.1 10000 1e+07 0.998247421254755 0.970613483479952 0.1737585 0.0212791
0.1 0.005 A1 1000 0.1 10000 1e+07 0.998049999423553 0.903486293319482 0.1779325 0.0088918
0.1 0.001 A1 1000 0.1 10000 1e+07 0.998547143476049 0.199683714191783 0.1777325 0.00299289
0.1 0.05 A1 1000 0.15 500 5e+05 0.955866626027834 0.905566818016539 0.1849315 0.107958
0.1 0.01 A1 1000 0.15 500 5e+05 0.965629390270493 0.487478856320942 0.202946 0.0196736
0.1 0.005 A1 1000 0.15 500 5e+05 0.960497972909431 0.0984468294428626 0.143995 0.0100021
0.1 0.001 A1 1000 0.15 500 5e+05 0.972814333390481 0.0108730114426923 0.2104145 0.00266836
0.1 0.05 A1 1000 0.15 1000 1e+06 0.979840591318323 0.94077959544052 0.1816545 0.084835
0.1 0.01 A1 1000 0.15 1000 1e+06 0.984009003332211 0.703956923444356 0.1988715 0.0179365
0.1 0.005 A1 1000 0.15 1000 1e+06 0.985658162852408 0.354963008569451 0.1966 0.0101236
0.1 0.001 A1 1000 0.15 1000 1e+06 0.985832716679179 0.011245574600743 0.2028845 0.00250827
0.1 0.05 A1 1000 0.15 5000 5e+06 0.996273983643994 0.988280156360784 0.1949005 0.0919049
0.1 0.01 A1 1000 0.15 5000 5e+06 0.997153375162936 0.933993169133905 0.1956565 0.0195478
0.1 0.005 A1 1000 0.15 5000 5e+06 0.996184323658679 0.826626557623091 0.1782405 0.00914339
0.1 0.001 A1 1000 0.15 5000 5e+06 0.996684729704598 0.0873265938090069 0.178417 0.00233305
0.1 0.05 A1 1000 0.15 10000 1e+07 0.997484300802558 0.994231252524653 0.1850555 0.0959588
0.1 0.01 A1 1000 0.15 10000 1e+07 0.99821324176028 0.964156136588832 0.186039 0.0196196
0.1 0.005 A1 1000 0.15 10000 1e+07 0.998383093479936 0.940858079422083 0.1794565 0.00848755
0.1 0.001 A1 1000 0.15 10000 1e+07 0.998491062879185 0.0766196097390836 0.1778275 0.00208396
0.1 0.05 A1 1000 0.2 500 5e+05 0.946435654312214 0.899323743575245 0.164096 0.0953455
0.1 0.01 A1 1000 0.2 500 5e+05 0.970634622864542 0.449280217662051 0.1989975 0.0191065
0.1 0.005 A1 1000 0.2 500 5e+05 0.967691955145911 0.129855022410919 0.187647 0.0089125
0.1 0.001 A1 1000 0.2 500 5e+05 0.966519884147406 5.24637129462995e-05 0.174671 0.00136748
0.1 0.05 A1 1000 0.2 1000 1e+06 0.978608629409914 0.932817146773709 0.175355 0.0863363
0.1 0.01 A1 1000 0.2 1000 1e+06 0.980976804068853 0.613071998917933 0.165593 0.0232838
0.1 0.005 A1 1000 0.2 1000 1e+06 0.985057951905849 0.594551003425184 0.1888635 0.0108816
0.1 0.001 A1 1000 0.2 1000 1e+06 0.986015271996602 0.0427872860639148 0.1962555 0.00276746
0.1 0.05 A1 1000 0.2 5000 5e+06 0.995343398262313 0.987939596102045 0.18223 0.101454
0.1 0.01 A1 1000 0.2 5000 5e+06 0.996631574986573 0.947973454945927 0.17942 0.0210813
0.1 0.005 A1 1000 0.2 5000 5e+06 0.997038812258978 0.891790395024568 0.194151 0.0105978
0.1 0.001 A1 1000 0.2 5000 5e+06 0.996751428933996 0.0109571175556021 0.184366 0.00151357
0.1 0.05 A1 1000 0.2 10000 1e+07 0.997841535800311 0.994288924754957 0.184573 0.0966084
0.1 0.01 A1 1000 0.2 10000 1e+07 0.998249184470167 0.974632657267623 0.1796425 0.0197596
